page_id,primary_keyword,secondary_keywords,page_type,content_format,funnel_stage,combined_volume,traffic_potential,avg_difficulty,priority_score,keyword_count,parent_page,description,coverage,existing_url,gap_reason
c16,how many questions is the asvab,,cluster,guide,awareness,800,4500,19.0,33.3,1,p5,Practical guide to how many questions is the asvab with actionable advice and real-world examples,covered,/how-many-questions-on-the-asvab,
c22,afqt vs asvab,,cluster,guide,awareness,500,0,3.0,62.5,1,p2,"Practical guide to afqt vs asvab with actionable advice and real-world examples — with honest pros, cons, and verdict",gap,,"No comparison page (500/mo, KD3)"
c18,asvab word knowledge practice test,,cluster,guide,awareness,600,900,0.0,120.0,1,c2,Practical guide to asvab word knowledge practice test with actionable advice and real-world examples,covered,/asvab-word-knowledge-tips + /study/wk,
c19,asvab math,,cluster,guide,awareness,600,800,1.0,100.0,1,c2,Practical guide to asvab math with actionable advice and real-world examples,covered,/asvab-math-tips + /study/mk,
c20,afqt percentile score,afqt meaning,cluster,guide,awareness,600,0,11.5,36.4,2,p2,Practical guide to afqt percentile score with actionable advice and real-world examples,covered,/afqt-score,
c21,asvab mechanical comprehension,,cluster,guide,awareness,500,900,0.0,100.0,1,c2,Practical guide to asvab mechanical comprehension with actionable advice and real-world examples,covered,/asvab-mechanical-comprehension-tips + /study/mc,
c15,asvab waiver,,cluster,guide,awareness,900,100,54.0,15.3,1,p5,Practical guide to asvab waiver with actionable advice and real-world examples,covered,/asvab-score-requirements (waiver),
s3,asvab flashcards,,supporting,comparison,consideration,350,150,0.0,70.0,1,p1,"Quick breakdown of asvab flashcards differences to guide your decision — with pricing, features, and recommendations",covered,/flashcards,
s1,asvab score chart army,army asvab score chart; asvab line scores army,supporting,guide,awareness,410,0,4.7,42.3,3,p4,Quick reference on asvab score chart army with key takeaways and next steps,covered,/army-asvab-score,
s4,asvab gt score,,supporting,guide,awareness,350,0,0.0,70.0,1,p2,Quick reference on asvab gt score with key takeaways and next steps,covered,/gt-score,
s5,whats the highest score on the asvab,,supporting,guide,awareness,350,600,0.0,70.0,1,p2,Quick reference on whats the highest score on the asvab with key takeaways and next steps,covered,/highest-asvab-score,
s6,afqt predictor test,,supporting,guide,awareness,350,0,2.0,50.0,1,p1,Quick reference on afqt predictor test with key takeaways and next steps,covered,/practice-test,
s2,asvab test bank,,supporting,guide,awareness,400,700,16.0,19.0,1,p1,Quick reference on asvab test bank with key takeaways and next steps,covered,/practice-test,
s7,asvab math formulas,,supporting,guide,awareness,300,350,0.0,60.0,1,c2,Quick reference on asvab math formulas with key takeaways and next steps,covered,/asvab-math-tips + /study/mk,
s8,what is a good afqt score,,supporting,guide,awareness,250,0,0.0,50.0,1,p2,Quick reference on what is a good afqt score with key takeaways and next steps,covered,/afqt-score,
s9,general science asvab study guide,,supporting,guide,awareness,200,150,0.0,40.0,1,c2,Quick reference on general science asvab study guide with key takeaways and next steps,covered,/asvab-general-science-tips + /study/gs,
s10,electronics information asvab,,supporting,guide,awareness,200,300,0.0,40.0,1,c2,Quick reference on electronics information asvab with key takeaways and next steps,covered,/asvab-electronics-information-tips + /study/ei,
s11,afct army,afct scoring; afct test,supporting,guide,awareness,200,0,11.3,12.3,3,p7,Quick reference on afct army with key takeaways and next steps,covered,/afct,
s12,asvab composite scores,,supporting,guide,awareness,150,150,2.0,21.4,1,p2,Quick reference on asvab composite scores with key takeaways and next steps,covered,/asvab-composite-score-calculator,
s13,general science questions,,supporting,guide,awareness,150,300,2.0,21.4,1,c2,Quick reference on general science questions with key takeaways and next steps,covered,/asvab-general-science-tips,
s14,general technical asvab practice test,,supporting,guide,awareness,150,35000,35.0,3.8,1,p1,Quick reference on general technical asvab practice test with key takeaways and next steps,covered,/free-asvab-practice-test (GT via AR/WK),
s17,afct vs asvab,,supporting,guide,awareness,70,0,0.0,14.0,1,p7,"Quick reference on afct vs asvab with key takeaways and next steps — with honest pros, cons, and verdict",gap,,"No comparison page (500/mo, KD0-3) — pairs with /afct"
s15,general maintenance asvab,,supporting,guide,awareness,90,50,14.0,4.7,1,p4,Quick reference on general maintenance asvab with key takeaways and next steps,covered,/mos-asvab-score-requirements (GM composite),
s18,mechanical comprehension asvab study guide,,supporting,guide,awareness,70,40,0.0,14.0,1,c2,Quick reference on mechanical comprehension asvab study guide with key takeaways and next steps,covered,/asvab-mechanical-comprehension-tips,
s16,asvab auto and shop study guide,,supporting,guide,awareness,70,80,0.0,14.0,1,c2,Quick reference on asvab auto and shop study guide with key takeaways and next steps,covered,/study/as,
s19,afct calculator,,supporting,guide,awareness,70,0,43.0,1.5,1,p6,Quick reference on afct calculator with key takeaways and next steps,covered,/asvab-retake-calculator (retake) / branch calcs,
s21,coast guard asvab score chart,,supporting,guide,awareness,40,0,15.0,2.0,1,p4,Quick reference on coast guard asvab score chart with key takeaways and next steps,covered,/coast-guard-asvab-score,
s23,asvab test format,,supporting,guide,awareness,30,0,0.0,6.0,1,p5,Quick reference on asvab test format with key takeaways and next steps,covered,/what-is-the-asvab,
s20,afct practice test,,supporting,guide,awareness,60,0,51.0,1.1,1,p7,Quick reference on afct practice test with key takeaways and next steps,covered,/afct-practice-test,
s22,how to pass asvab,,supporting,guide,awareness,30,150,1.0,5.0,1,p5,Quick reference on how to pass asvab with key takeaways and next steps — with warnings on when to call a pro,covered,/how-to-study-for-the-asvab,
s24,asvab test tips,,supporting,guide,awareness,10,600,1.0,1.7,1,p1,Quick reference on asvab test tips with key takeaways and next steps,covered,/how-to-study-for-the-asvab,
s25,asvab reading,,supporting,guide,awareness,10,0,0.0,2.0,1,c2,Quick reference on asvab reading with key takeaways and next steps,covered,/asvab-paragraph-comprehension-tips + /study/pc,
p4,asvab scores by branch,,pillar,guide,awareness,3440,0,0,0,0,,"ASVAB score charts, line/composite scores, and the jobs each branch (Army/Navy/Air Force/Marines/Coast Guard) unlocks at a given score.",covered,(hub exists),
p5,asvab test basics,,pillar,guide,awareness,6160,0,0,0,0,,"How the ASVAB works: format, number of questions, difficulty, retake rules, and waivers.",covered,(hub exists),
p6,asvab calculator,,pillar,guide,awareness,70,0,0,0,0,,"The ASVAB Hero calculator hub — AFQT, GT, line-score and composite calculators by branch.",covered,/calculator,
p7,afct active duty retest,,pillar,guide,awareness,330,0,0,0,0,,For active-duty members retesting via the AFCT to improve scores and reclass to a new MOS/rating.,covered,(hub exists),
p6c1,asvab calculator,afqt calculator; gt score calculator; asvab line scores calculator,cluster,tool,consideration,0,0,0,0,0,p6,"Interactive ASVAB score calculator — flagship tool; estimate AFQT, GT and line scores.",covered,/calculator,
s_ao,assembling objects asvab,asvab assembling objects,supporting,guide,consideration,590,400,0,118,2,c2,Assembling Objects (AO) tips/strategy SEO page — completes the per-subtest -tips set.,gap,,No /asvab-assembling-objects-tips page (other 7 subtests have one); /study/ao exists.
